Test Loss:,
1,0.000770154
2,0.000633146
3,0.000535423
4,0.000378578
5,0.001802414
6,0.000751368
7,0.001651952
8,0.00142481
9,0.001001712
10,0.002445607
11,0.000884182
12,0.004970245
13,0.004559009
14,0.004306245
15,0.007771087
16,0.013819492
17,0.011922098
18,0.002468234
19,0.017484204
20,0.018347191
21,0.023809702
22,0.014946311
23,0.0442743
24,0.004701083
25,0.010094868
26,0.02273837
27,0.772908199
28,0.106435142
29,0.730965595
30,0.416067861
31,1.449886358
32,0.351206048
33,0.42630951
34,1.42058657
35,4.398502253
36,39.36446915
37,9.64000201
38,615.4095142
39,854.631371
40,1335.249535
41,2087.984724
42,887.2430212
43,416.8726867
44,389.7773275
45,805.5223581
46,990.0726755
47,771.6956128
48,1184.008405
49,558.1396072
50,3865.820664
51,2564.783138
52,3274.168158
53,420.3805231
54,1793.642347
55,3782.547149
56,3012.105274
57,1246.124577
58,8733.158362
59,8970.527218
60,7811.441814
61,4843.872657
62,1811.73598
63,2743.34167
64,3838.521999
65,9126.847272
66,1115.827048
67,614.4213158
68,1159.308096
69,3065.538006
70,1815.027233
71,699.2342386
72,21069.65251
73,15690.20226
74,225527.3817
75,282926.8832
76,317278.4968
77,563754.2175
78,256174.4854
79,530651.7528
80,638595.576
81,914849.8063
82,586295.2881
83,383513.9709
84,214527.0344
85,339133.7349
86,74048.23833
87,74548.6161
88,7390.883299
89,58803.1785
90,2825.820933
91,408326.8716
92,25476.14979
93,18543.38586
94,8272.138432
95,349099.2323
96,80778.95642
97,109792.2558
98,28113.0046
99,192950.0785
100,1328192.353
Train Loss:,
1,0.001263056
2,0.000602805
3,0.000414455
4,0.000331808
5,0.000281709
6,0.000246967
7,0.000220091
8,0.000220233
9,0.000185627
10,0.000177797
11,0.00016123
12,0.00016004
13,0.000151106
14,0.000148351
15,0.000154953
16,0.00013458
17,0.000126916
18,0.000119454
19,0.000123073
20,0.000107179
21,0.000103872
22,0.000105829
23,0.000107379
24,0.000103042
25,0.000120464
26,7.96E-05
27,8.53E-05
28,9.50E-05
29,6.75E-05
30,6.94E-05
31,6.96E-05
32,6.30E-05
33,6.14E-05
34,0.000151447
35,0.000110251
36,7.10E-05
37,6.15E-05
38,0.000131299
39,8.48E-05
40,4.76E-05
41,4.60E-05
42,4.34E-05
43,4.18E-05
44,3.80E-05
45,4.67E-05
46,4.11E-05
47,4.79E-05
48,5.38E-05
49,4.28E-05
50,3.75E-05
51,4.41E-05
52,3.76E-05
53,4.86E-05
54,3.57E-05
55,3.56E-05
56,5.88E-05
57,3.90E-05
58,4.49E-05
59,3.13E-05
60,4.01E-05
61,4.37E-05
62,2.98E-05
63,2.73E-05
64,3.28E-05
65,3.48E-05
66,3.54E-05
67,3.57E-05
68,5.12E-05
69,3.35E-05
70,2.99E-05
71,2.17E-05
72,1.87E-05
73,2.66E-05
74,3.35E-05
75,4.55E-05
76,3.77E-05
77,1.63E-05
78,1.34E-05
79,3.31E-05
80,2.42E-05
81,1.84E-05
82,2.33E-05
83,3.30E-05
84,3.00E-05
85,1.53E-05
86,4.58E-05
87,2.05E-05
88,2.27E-05
89,1.30E-05
90,1.46E-05
91,2.45E-05
92,2.43E-05
93,4.12E-05
94,6.47E-05
95,3.51E-05
96,1.66E-05
97,1.32E-05
98,1.33E-05
99,7.13E-06
100,1.02E-05
Test Acc:,
1,95.24
2,96.08
3,97.35
4,97.79
5,98.04
6,97.59
7,97.75
8,97.64
9,98.21
10,97.53
11,98.29
12,98.2
13,98.08
14,98.09
15,98.11
16,98.35
17,98.01
18,98.17
19,98.34
20,97.85
21,98.09
22,98.17
23,98.4
24,98.03
25,97.78
26,98.35
27,98.39
28,98.17
29,98.48
30,98.48
31,98.5
32,98.55
33,97.4
34,97.61
35,98.47
36,98.52
37,98.52
38,98.07
39,98.18
40,98.57
41,98.66
42,98.49
43,98.44
44,98.33
45,98.43
46,98.3
47,98.32
48,98.54
49,98.52
50,98.68
51,98.58
52,98.64
53,98.54
54,98.79
55,97.86
56,98.57
57,98.56
58,98.37
59,98.54
60,98.2
61,98.29
62,98.38
63,98.54
64,98.53
65,98.46
66,98.56
67,97.17
68,98.42
69,98.5
70,98.47
71,98.75
72,98.52
73,98.37
74,98.32
75,98.69
76,98.63
77,98.68
78,98.41
79,98.45
80,98.76
81,98.61
82,98.79
83,98.28
84,98.67
85,98.58
86,98.78
87,98.84
88,98.85
89,98.68
90,98.53
91,98.6
92,98.54
93,98.21
94,98.28
95,98.46
96,98.61
97,98.72
98,98.72
99,98.8
100,98.6
Train Acc:,
1,94.37
2,95.485
3,96.87
4,97.41833333
5,97.92
6,98.09166667
7,98.28166667
8,98.33333333
9,98.55166667
10,98.66833333
11,98.73
12,98.82
13,98.85833333
14,98.88333333
15,98.87
16,99
17,99.07333333
18,99.09166667
19,99.04666667
20,99.20333333
21,99.215
22,99.20833333
23,99.21333333
24,99.27166667
25,99.155
26,99.425
27,99.38333333
28,99.32833333
29,99.5
30,99.49666667
31,99.51833333
32,99.56
33,99.54166667
34,99.01166667
35,99.22666667
36,99.52666667
37,99.57
38,99.125
39,99.375
40,99.62166667
41,99.655
42,99.68
43,99.69333333
44,99.72666667
45,99.65833333
46,99.71
47,99.67166667
48,99.62333333
49,99.67
50,99.72833333
51,99.68666667
52,99.71333333
53,99.67166667
54,99.76333333
55,99.74
56,99.59666667
57,99.72333333
58,99.69333333
59,99.78166667
60,99.73333333
61,99.70833333
62,99.805
63,99.805
64,99.79333333
65,99.74333333
66,99.75333333
67,99.775
68,99.66666667
69,99.77833333
70,99.79833333
71,99.85333333
72,99.87833333
73,99.81833333
74,99.78666667
75,99.74833333
76,99.75166667
77,99.89833333
78,99.90833333
79,99.78
80,99.83333333
81,99.88
82,99.835
83,99.79833333
84,99.795
85,99.88666667
86,99.71166667
87,99.84666667
88,99.83333333
89,99.91833333
90,99.895
91,99.84833333
92,99.83
93,99.755
94,99.59666667
95,99.73333333
96,99.865
97,99.89833333
98,99.89833333
99,99.95666667
100,99.93
